Campaign,Ad group,Month,Week,Search keyword,Search term,Currency code,Impr.,Clicks,Avg. CPC,CTR,Cost,Conv. value,Conversions,Conv. value / cost,Cost / conv.,Value / conv.
SS - Genetic Testing TROAS,adhd,Mar-23,27/03/2023,adhd genetic testing,adhd genetic testing,USD,31,6,4.06,19.35%,24.33,0,0,0, , 
SS - DNA Testing B,Anxiety,Apr-23,27/03/2023,dna test for anxiety medication,test to see what medications work for you,USD,1,1,3.08,100.00%,3.08,0,0,0, , 
SS - DNA Testing A,antidepressants,May-23,15/05/2023,dna test antidepressants,test to see which antidepressant works best for you,USD,11,1,2.05,9.09%,2.05,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Apr-23,24/04/2023,genetic testing for mental health medication,test for psychiatric medications,USD,1,1,4.61,100.00%,4.61,0,0,0, , 
SS - Genetic Testing TROAS,medication,Feb-23,6/02/2023,genetic test for medication,blood test for medication compatibility,USD,6,1,3.45,16.67%,3.45,0,0,0, , 
SS - Competitors,Tempus,Jan-23,16/01/2023,tempus genetic testing,tempus testing,USD,21,2,6.85,9.52%,13.7,0,0,0, , 
SS - DNA Testing A,medication,Mar-23,27/02/2023,dna test for medication,dna test for medication,USD,39,3,5.64,7.69%,16.92,0,0,0, , 
SS - DNA Testing A,medication,Jan-23,2/01/2023,dna test for medication,dna prescription testing,USD,3,2,6.36,66.67%,12.72,374.25,1,29.42,12.72,374.25
SS - DNA Testing B,adhd,Apr-23,3/04/2023,ADHD dna test psychiatry,adhd gene test,USD,1,1,3.69,100.00%,3.69,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,May-23,15/05/2023,genetic testing for antidepressants,antidepressant blood test,USD,7,4,3.22,57.14%,12.87,0,0,0, , 
SS - Competitors,Genesight,Mar-23,20/03/2023,genesight.com,genesight adhd,USD,6,1,1.99,16.67%,1.99,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,May-23,22/05/2023,genetic testing for antidepressant response,test to see what medications work for you,USD,8,1,4.32,12.50%,4.32,0,0,0, , 
SS - DNA Testing A,medication,Mar-23,20/03/2023,dna medical testing for medications,genetic testing for pain medications,USD,6,1,4.12,16.67%,4.12,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Mar-23,27/03/2023,genetic testing for mental health medication,genetic testing for depression,USD,8,1,1.45,12.50%,1.45,0,0,0, , 
SS - DNA Testing B,mental health,Mar-23,6/03/2023,Mental Health dna test,medicine dna test,USD,4,1,12.91,25.00%,12.91,0,0,0, , 
SS - Genetic Testing TROAS,medication,Mar-23,27/02/2023,genetic test for medication,genetic testing for medication near me,USD,8,1,6.05,12.50%,6.05,0,0,0, , 
SS - Genetic Testing TROAS,medication,Mar-23,6/03/2023,genetic test for medication,gene testing medications,USD,4,1,5.34,25.00%,5.34,0,0,0, , 
SS - DNA Testing A,medication,Feb-23,27/02/2023,dna test for medication,dna test for medication effectiveness,USD,5,1,5.26,20.00%,5.26,0,0,0, , 
SS - DNA Testing A,medication,Apr-23,3/04/2023,dna test for medication,dna testing for medication effectiveness,USD,1,2,3.97,200.00%,7.94,0,0,0, , 
SS - Genetic Testing - Sol8,Anxiety,Mar-23,13/03/2023,genetic testing for anxiety meds,genetic anxiety test,USD,10,1,3.78,10.00%,3.78,0,0,0, , 
SS - Genetic Testing TROAS,depression,Mar-23,27/03/2023,genetic testing depression,saliva test for depression,USD,1,1,6.08,100.00%,6.08,0,0,0, , 
SS - Genetic Testing TROAS,medication,Apr-23,17/04/2023,genetic test for medication,testing for medication sensitivity,USD,2,1,1.57,50.00%,1.57,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,May-23,8/05/2023,pharmacogenetics test,dna swab for medication,USD,3,1,7.68,33.33%,7.68,0,0,0, , 
SS - Genetic Testing TROAS,depression,Apr-23,24/04/2023,genetic testing for mental health meds,genetic testing to see what medications work,USD,1,1,2.82,100.00%,2.82,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Apr-23,3/04/2023,pharmacogenomics testing,medication compatibility test,USD,4,1,5.07,25.00%,5.07,0,0,0, , 
SS - Competitors,Genesight,Jan-23,9/01/2023,genesight test,genesight,USD,606,61,2.74,10.07%,167,0,0,0, , 
SS - Genetic Testing TROAS,medication,Mar-23,27/02/2023,genetic test for medication,genetic swab for medication,USD,4,1,8.44,25.00%,8.44,0,0,0, , 
SS - Competitors,Genesight,Feb-23,13/02/2023,genesight test,genesight dna test,USD,14,2,2.47,14.29%,4.94,0,0,0, , 
SS - DNA Testing A,antidepressants,Jan-23,2/01/2023,dna test for antidepressants,swab test for antidepressants,USD,3,1,8.47,33.33%,8.47,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,May-23,15/05/2023,genetic testing for antidepressant response,geno testing for medications,USD,2,1,2.31,50.00%,2.31,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,May-23,15/05/2023,genetic testing for antidepressants,genetic antidepressant testing,USD,6,1,6.76,16.67%,6.76,0,0,0, , 
SS - Brand,Trademark,May-23,15/05/2023,ClarityX,clarityx,USD,62,32,1.58,51.61%,50.69,598.5,2,11.81,25.35,299.25
SS - Pharmacogenetic,Pharmacogenetic,Mar-23,13/03/2023,pgx genetic testing,pgx testing,USD,5,2,0.63,40.00%,1.25,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Jan-23,2/01/2023,genetic testing for mental health medication,genetic testing for antidepressants,USD,34,4,4.4,11.76%,17.59,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Mar-23,27/02/2023,genetic testing for mental health medication,genetic testing to determine antidepressant,USD,2,1,8.69,50.00%,8.69,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Feb-23,13/02/2023,pharmacogenetic tests,pharmacogenetic testing,USD,70,3,5.88,4.29%,17.64,0,0,0, , 
SS - DNA Testing A,medication,Apr-23,3/04/2023,dna medical testing for medications,genetic testing for pain medications,USD,4,1,10.58,25.00%,10.58,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Apr-23,3/04/2023,pharmacogenetics testing,pharmacogenetic testing psychiatry,USD,2,1,6.92,50.00%,6.92,0,0,0, , 
SS - Genetic Testing TROAS,adhd,Mar-23,27/03/2023,genetic testing for adhd medication,genetic testing for add,USD,1,1,4.88,100.00%,4.88,0,0,0, , 
SS - Genetic Testing TROAS,medication,Feb-23,6/02/2023,genetic test for medication,genetic testing for pharmaceuticals,USD,4,1,2.92,25.00%,2.92,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,May-23,1/05/2023,pharmacogenomic test,pharmacogenic testing,USD,4,1,3.22,25.00%,3.22,0,0,0, , 
SS - DNA Testing A,medication,Jan-23,26/12/2022,dna test for medication,dna tests for medications,USD,1,1,2.91,100.00%,2.91,0,0,0, , 
SS - DNA Testing A,medication,Mar-23,6/03/2023,dna test for medication,dna test for medications compatibility,USD,2,1,17.26,50.00%,17.26,0,0,0, , 
SS - Genetic Testing TROAS,depression,Jan-23,16/01/2023,genetic testing depression,genetic testing depression,USD,8,1,3.5,12.50%,3.5,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,May-23,15/05/2023,genetic testing for antidepressant response,gene site testing,USD,11,1,2.23,9.09%,2.23,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Feb-23,6/02/2023,pharmacogenomics testing,dna testing for medicine,USD,1,1,5.27,100.00%,5.27,374.25,1,71.02,5.27,374.25
SS - Pharmacogenetic,Pharmacogenomic,Feb-23,13/02/2023,pharmacogenomics testing,swab testing for medication,USD,1,2,5.67,200.00%,11.34,0,0,0, , 
SS - DNA Testing A,Psych Meds,Feb-23,20/02/2023,dna testing for psychiatric drugs,gene testing for mental health,USD,16,1,16.67,6.25%,16.67,0,0,0, , 
SS - Genetic Testing TROAS,medication,Feb-23,27/02/2023,genetic test for medication,swab test for medications,USD,2,1,2.82,50.00%,2.82,0,0,0, , 
SS - Genetic Testing TROAS,medication,Feb-23,13/02/2023,genetic test for medication,gene testing for medications,USD,12,1,8.69,8.33%,8.69,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Jan-23,23/01/2023,genetic testing for mental health medication,genetic test for medication,USD,2,2,1.98,100.00%,3.96,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Apr-23,24/04/2023,genetic testing for depression medicine,test to see what antidepressant will work,USD,1,1,5.49,100.00%,5.49,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,May-23,8/05/2023,pharmacogenomic test,pharmacogenomics testing at home,USD,9,2,3.21,22.22%,6.41,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Apr-23,3/04/2023,pgx genetic testing,pgx testing near me,USD,1,1,1.23,100.00%,1.23,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Apr-23,10/04/2023,genetic testing for mental health medication,gene testing for antidepressants,USD,2,1,2.79,50.00%,2.79,0,0,0, , 
SS - DNA Testing A,medication,Apr-23,17/04/2023,dna medical testing for medications,dna for medication,USD,2,2,7.04,100.00%,14.07,0,0,0, , 
SS - Competitors,Genesight,May-23,15/05/2023,genesight testing,gene sight testing,USD,47,3,2.94,6.38%,8.81,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,May-23,22/05/2023,best pharmacogenetic testing,best pharmacogenetic testing,USD,21,1,13.09,4.76%,13.09,0,0,0, , 
SS - Genetic Testing TROAS,medication,Apr-23,3/04/2023,genetic medication testing,genetic testing for mental health medications,USD,7,1,2.28,14.29%,2.28,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Jan-23,23/01/2023,pharmacogenomic test,blood test to see what medications work,USD,3,1,1.7,33.33%,1.7,0,0,0, , 
SS - DNA Testing A,medication,Jan-23,23/01/2023,dna test for medication,genetic testing for anxiety medication,USD,17,2,6.8,11.76%,13.6,299.25,1,22,13.6,299.25
SS - DNA Testing A,medication,Mar-23,6/03/2023,dna test for medication,dna medication,USD,2,1,8.31,50.00%,8.31,0,0,0, , 
SS - Brand,Trademark,Feb-23,13/02/2023,clarity x dna,clarity x dna,USD,4,2,2.44,50.00%,4.87,0,0,0, , 
SS - Competitors,Tempus,Jan-23,9/01/2023,Tempus,tempust,USD,1,1,2.37,100.00%,2.37,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Apr-23,24/04/2023,genetic testing for mental health medication,genetic testing for mental health medications,USD,6,1,4.7,16.67%,4.7,0,0,0, , 
SS - DNA Testing A,antidepressants,Feb-23,30/01/2023,dna test for antidepressants,dna test for antidepressants,USD,33,4,3.56,12.12%,14.23,0,0,0, , 
SS - DNA Testing A,antidepressants,Jan-23,2/01/2023,dna test for antidepressants,test to see what antidepressant will work,USD,14,4,2.06,28.57%,8.24,0,0,0, , 
SS - Brand,Trademark,Feb-23,20/02/2023,clarity x dna,clarity x dna,USD,4,2,1.4,50.00%,2.79,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Mar-23,6/03/2023,pharmacogenetics test,drug metabolism test,USD,8,1,10.63,12.50%,10.63,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Apr-23,10/04/2023,pharmacogenomic testing,pharmacogenomic testing,USD,90,12,4.9,13.33%,58.81,0,0,0, , 
SS - DNA Testing B,mental health,Feb-23,30/01/2023,Mental Health dna test,genetic testing for mental illness,USD,7,1,4.54,14.29%,4.54,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Jan-23,9/01/2023,pgx genetic testing,pgx test,USD,19,2,1.38,10.53%,2.76,0,0,0, , 
SS - DNA Testing B,mental health,Jan-23,30/01/2023,Mental Health dna test,genetic testing for schizophrenia,USD,2,1,0.96,50.00%,0.96,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Mar-23,6/03/2023,best pharmacogenetic testing,best pharmacogenetic testing companies,USD,14,1,2.58,7.14%,2.58,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Feb-23,6/02/2023,best pharmacogenetic testing,best pharmacogenetic testing,USD,12,1,10.05,8.33%,10.05,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Mar-23,13/03/2023,genetic testing for antidepressant response,blood test to see which antidepressant works best,USD,7,3,7.31,42.86%,21.93,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Mar-23,27/03/2023,pharmacogenetics,pharmacogenomics,USD,68,7,3.11,10.29%,21.75,0,0,0, , 
SS - Brand,Trademark,Apr-23,3/04/2023,clarity x dna,clarity x,USD,10,6,3.55,60.00%,21.29,0,0,0, , 
SS - DNA Testing B,mental health,Apr-23,17/04/2023,Mental Health dna test cheek swab,genesite,USD,14,4,2.65,28.57%,10.59,374.25,1,35.34,10.59,374.25
SS - Genetic Testing - Sol8,mental health,Apr-23,24/04/2023,genetic testing for mental health medication,cheek swab test for antidepressants,USD,1,1,15.08,100.00%,15.08,0,0,0, , 
SS - Brand,Trademark,Apr-23,24/04/2023,ClarityX,clarityx,USD,89,39,1.36,43.82%,52.97,299.25,1,5.65,52.97,299.25
SS - Pharmacogenetic,Pharmacogenomic,May-23,15/05/2023,pharmacogenomic testing for antidepressants,genetic antidepressant testing,USD,1,1,2.33,100.00%,2.33,0,0,0, , 
SS - Competitors,Genesight,Apr-23,3/04/2023,genesight reviews,genesight reviews,USD,143,11,3.16,7.69%,34.72,0,0,0, , 
SS - Genetic Testing TROAS,medication,Mar-23,6/03/2023,genetic test for medication,test to see what medication works for you,USD,4,1,6.81,25.00%,6.81,0,0,0, , 
SS - DNA Testing B,depression,Apr-23,10/04/2023,dna test for depression,dna test for depression,USD,22,2,5.22,9.09%,10.44,0,0,0, , 
SS - DNA Testing B,adhd,Mar-23,27/03/2023,dna swab test for ADHD medication,genetic testing for adhd medications,USD,13,2,4.01,15.38%,8.02,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Feb-23,30/01/2023,pharmacogenomic test,genetic testing for medication,USD,3,1,2.72,33.33%,2.72,0,0,0, , 
SS - Genetic Testing TROAS,medication,Mar-23,6/03/2023,genetic test for medication,blood test to see what medications work,USD,14,3,3.95,21.43%,11.84,0,0,0, , 
SS - DNA Testing A,medication,Jan-23,9/01/2023,dna test for medication,drug gene testing,USD,6,3,3.73,50.00%,11.18,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,May-23,15/05/2023,genetic testing for antidepressants,cheek swab for antidepressants,USD,4,1,5.47,25.00%,5.47,374.25,1,68.42,5.47,374.25
SS - Pharmacogenetic,Pharmacogenetic,Mar-23,13/03/2023,pharmacogenetic testing at home,pharmacogenomics testing at home,USD,9,1,5.22,11.11%,5.22,0,0,0, , 
SS - Genetic Testing TROAS,medication,Jan-23,23/01/2023,gene testing for medication,gene testing for medication,USD,142,6,5.53,4.23%,33.18,0,0,0, , 
SS - DNA Testing B,mental health,Apr-23,3/04/2023,Mental Health dna test,mental illness genetic testing,USD,4,2,6.24,50.00%,12.48,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Feb-23,20/02/2023,pharmacogenetics testing,pharmacogenetic testing,USD,110,9,4.16,8.18%,37.45,598.5,2,15.98,18.72,299.25
SS - Competitors,Genesight,Mar-23,6/03/2023,genesight test,gene sight test,USD,26,2,2.66,7.69%,5.31,0,0,0, , 
SS - DNA Testing A,antidepressants,Feb-23,30/01/2023,dna test antidepressants,test to see what antidepressant will work,USD,3,1,6.78,33.33%,6.78,0,0,0, , 
SS - DNA Testing A,medication,Mar-23,6/03/2023,dna test for medication,dna medicine test,USD,1,1,3.35,100.00%,3.35,0,0,0, , 
SS - Genetic Testing TROAS,medication,Jan-23,2/01/2023,genetic testing for medication efficacy,genetic testing for medication efficacy,USD,21,1,5.83,4.76%,5.83,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Mar-23,13/03/2023,genetic testing for antidepressants,gene test for antidepressants,USD,6,1,5.01,16.67%,5.01,0,0,0, , 
SS - Genetic Testing TROAS,adhd,Feb-23,20/02/2023,genetic testing for medication adhd,gene test for adhd,USD,1,1,7.28,100.00%,7.28,0,0,0, , 
SS - Brand,General Terms,Feb-23,6/02/2023,clarityx dna reviews,clarityx dna reviews,USD,23,5,5.86,21.74%,29.3,0,0,0, , 
SS - DNA Testing A,Psych Meds,Apr-23,17/04/2023,dna testing for psychiatric drugs,gene psych testing,USD,13,2,15.25,15.38%,30.49,299.25,1,9.81,30.49,299.25
SS - DNA Testing A,Psych Meds,Jan-23,16/01/2023,dna testing for psychiatric drugs,dna test for psychotropic medications,USD,2,1,3.1,50.00%,3.1,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Feb-23,6/02/2023,genetic testing for mental health medication,genetic testing for medication near me,USD,7,1,7.77,14.29%,7.77,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Feb-23,6/02/2023,genetic testing for mental health medication,saliva test to determine best antidepressant,USD,2,1,2.02,50.00%,2.02,0,0,0, , 
SS - DNA Testing A,antidepressants,May-23,1/05/2023,dna test for antidepressants,dna test for antidepressants,USD,74,11,3.55,14.86%,39.05,0,0,0, , 
SS - Genetic Testing TROAS,depression,Feb-23,6/02/2023,genetic testing depression,genetic testing depression,USD,15,2,3.71,13.33%,7.42,0,0,0, , 
SS - Genetic Testing - Sol8,Anxiety,Mar-23,6/03/2023,genetic testing for anxiety meds,genetic testing for anxiety medication,USD,2,2,3.51,100.00%,7.02,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Feb-23,6/02/2023,pharmacogenetic testing for depression,genetic testing for ssri,USD,1,1,4.72,100.00%,4.72,0,0,0, , 
SS - Competitors,Genesight,Apr-23,10/04/2023,genesight test,genesight,USD,"1,180",35,2.59,2.97%,90.66,559.33,1.5,6.17,60.44,372.88
SS - DNA Testing A,antidepressants,Mar-23,13/03/2023,dna test antidepressants,dna testing for antidepressants,USD,2,1,11.89,50.00%,11.89,0,0,0, , 
SS - DNA Testing B,mental health,Mar-23,27/03/2023,Mental Health dna test,antidepressant dna test,USD,1,1,16.27,100.00%,16.27,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Feb-23,13/02/2023,genetic testing for mental health medication,genetic blood test for antidepressants,USD,1,1,7.72,100.00%,7.72,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Feb-23,20/02/2023,genetic testing for antidepressants,gene testing for antidepressants,USD,6,1,15.14,16.67%,15.14,0,0,0, , 
SS - Genetic Testing TROAS,ssris,Jan-23,9/01/2023,ssri genetic testing,ssri genetic testing,USD,17,2,2.59,11.76%,5.17,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Apr-23,10/04/2023,pharmacogenomics testing,pharmacogenomics testing,USD,106,6,4.25,5.66%,25.51,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,May-23,15/05/2023,pharmacogenomic testing for antidepressants,dna test for antidepressants,USD,4,2,14.65,50.00%,29.29,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Apr-23,10/04/2023,genetic testing for mental health medication,genetic testing to see what medications work,USD,4,1,5.04,25.00%,5.04,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Jan-23,2/01/2023,dna pharmacogenetic testing,dna pharmacogenetic testing,USD,3,1,1.71,33.33%,1.71,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Apr-23,10/04/2023,genetic testing for antidepressant response,cyp450 test at home,USD,8,3,3.77,37.50%,11.32,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Apr-23,3/04/2023,pharmacogenetics test,drug metabolism test,USD,7,1,6.27,14.29%,6.27,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Mar-23,27/03/2023,pharmacogenomic test,genetic testing for medications,USD,1,1,2.57,100.00%,2.57,0,0,0, , 
SS - DNA Testing B,mental health,Jan-23,16/01/2023,Mental Health dna test,is there a genetic test for schizophrenia,USD,1,1,1.56,100.00%,1.56,0,0,0, , 
SS - Genetic Testing TROAS,medication,May-23,22/05/2023,genetic testing for medication,cheek swab to determine medication,USD,2,1,3.02,50.00%,3.02,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Feb-23,20/02/2023,genetic testing for antidepressants,test to determine best antidepressant,USD,7,2,5.61,28.57%,11.22,0,0,0, , 
SS - Genetic Testing TROAS,depression,Jan-23,2/01/2023,genetic testing for depression meds,genetic swab test for antidepressants,USD,1,1,17.91,100.00%,17.91,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,May-23,8/05/2023,pharmacogenomic testing for antidepressants,genetic testing for ssris,USD,2,1,1.64,50.00%,1.64,0,0,0, , 
SS - DNA Testing B,mental health,Apr-23,3/04/2023,Mental Health dna test,genetic testing mental disorders,USD,2,1,9.3,50.00%,9.3,0,0,0, , 
SS - Genetic Testing TROAS,medication,Mar-23,27/02/2023,genetic test for medication,medication genetic testing,USD,22,4,5.12,18.18%,20.49,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Mar-23,27/03/2023,pharmacogenetic testing at home,pharmacogenetic testing at home,USD,1,1,1.31,100.00%,1.31,0,0,0, , 
SS - Genetic Testing TROAS,medication,Jan-23,16/01/2023,genetic medication testing,genetic psychotropic testing,USD,1,1,9.28,100.00%,9.28,0,0,0, , 
SS - DNA Testing A,antidepressants,Apr-23,3/04/2023,blood test for antidepressant,blood test for mental health medication,USD,1,1,13.89,100.00%,13.89,0,0,0, , 
SS - DNA Testing B,depression,Jan-23,9/01/2023,depression dna test swab,dna testing for depression,USD,3,1,3.82,33.33%,3.82,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Feb-23,20/02/2023,genetic testing for antidepressants,blood test for antidepressants,USD,23,3,1.7,13.04%,5.11,0,0,0, , 
SS - Genetic Testing TROAS,medication,Mar-23,27/03/2023,genetic test for medication,geno testing for medications,USD,3,2,2.75,66.67%,5.5,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Mar-23,27/02/2023,genetic testing for mental health medication,saliva test for anxiety medications,USD,2,1,4.18,50.00%,4.18,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Mar-23,6/03/2023,pharmacogenomics testing near me,pharmacogenomics testing near me,USD,6,2,2.97,33.33%,5.94,0,0,0, , 
SS - DNA Testing A,antidepressants,Jan-23,23/01/2023,blood test for antidepressant,antidepressant test,USD,1,1,1.08,100.00%,1.08,0,0,0, , 
SS - Competitors,Tempus,Feb-23,30/01/2023,Tempus,ttempus,USD,1,1,4.77,100.00%,4.77,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Mar-23,13/03/2023,genetic testing for mental health medication,genetic testing for mental health medications,USD,5,2,5.42,40.00%,10.85,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,May-23,15/05/2023,genetic testing for antidepressant response,test to see which antidepressant works best,USD,1,1,4.33,100.00%,4.33,0,0,0, , 
SS - Competitors,Tempus,Mar-23,6/03/2023,tempus genetic testing,tempus genetic testing,USD,20,1,10.4,5.00%,10.4,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Jan-23,16/01/2023,genetic testing for mental health medication,genetic testing psychiatry,USD,3,2,4.51,66.67%,9.02,0,0,0, , 
SS - Genetic Testing TROAS,psychiatric,May-23,15/05/2023,best genetic testing for psychiatric medications,genetic testing for psychotropic medication,USD,1,1,7.48,100.00%,7.48,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,May-23,15/05/2023,pharmacogenetics test,pharmacogenetics test,USD,12,4,3.15,33.33%,12.58,0,0,0, , 
SS - Genetic Testing TROAS,adhd,Apr-23,3/04/2023,genetic testing for medication adhd,genetic testing for adhd medicine,USD,1,1,4.76,100.00%,4.76,0,0,0, , 
SS - Brand,General Terms,Mar-23,27/03/2023,clarityx dna reviews,clarity x dna test reviews,USD,7,2,7.14,28.57%,14.28,0,0,0, , 
SS - DNA Testing A,antidepressants,Feb-23,20/02/2023,blood test for antidepressant,ssri blood test,USD,4,1,3.21,25.00%,3.21,0,0,0, , 
SS - Genetic Testing TROAS,adhd,Feb-23,30/01/2023,adhd genetic testing,adhd genetic testing,USD,26,4,5.87,15.38%,23.49,0,0,0, , 
SS - Genetic Testing TROAS,bipolar,Apr-23,24/04/2023,genetic testing for bipolar medication,genetic test for bipolar,USD,4,1,1.74,25.00%,1.74,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Feb-23,30/01/2023,genetic testing for mental health medication,mental health genetic testing,USD,8,1,3.4,12.50%,3.4,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Mar-23,13/03/2023,pharmacogenetics test,dna medicine test,USD,1,1,7.64,100.00%,7.64,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Mar-23,13/03/2023,pharmacogenetics test,medication dna test,USD,8,1,2.87,12.50%,2.87,0,0,0, , 
SS - Brand,General Terms,May-23,1/05/2023,clarityx dna reviews,clarityx dna reviews,USD,40,9,3.42,22.50%,30.75,0,0,0, , 
SS - Genetic Testing TROAS,medication,May-23,15/05/2023,genetic test for medication,medication test,USD,9,2,8.73,22.22%,17.45,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,May-23,22/05/2023,antidepressant genetic test,antidepressant genetic test,USD,16,2,1.8,12.50%,3.6,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Apr-23,3/04/2023,pharmacogenomics testing,genetic testing for medication,USD,21,3,2.85,14.29%,8.55,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Mar-23,20/03/2023,genetic testing for antidepressant response,genetic testing for psychiatric medications near me,USD,2,1,1.44,50.00%,1.44,0,0,0, , 
SS - DNA Testing A,medication,Mar-23,27/02/2023,dna medical testing for medications,medication dna test,USD,1,1,4.65,100.00%,4.65,0,0,0, , 
SS - DNA Testing A,medication,Feb-23,13/02/2023,dna medical testing for medications,genetic testing for pain medications,USD,2,1,5.34,50.00%,5.34,0,0,0, , 
SS - DNA Testing A,medication,Apr-23,17/04/2023,dna medical testing for medications,dna medication test,USD,2,1,3.22,50.00%,3.22,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,May-23,15/05/2023,pharmacogenetics testing,pharmacogenetic testing,USD,208,17,5.31,8.17%,90.24,374.25,1,4.15,90.24,374.25
SS - DNA Testing A,Psych Meds,Feb-23,6/02/2023,dna testing for psychiatric drugs,psychiatric genetic testing,USD,17,1,14.58,5.88%,14.58,0,0,0, , 
SS - DNA Testing B,depression,Mar-23,20/03/2023,depression dna test swab,genetic test for depression,USD,6,1,1.86,16.67%,1.86,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Feb-23,20/02/2023,genetic testing for mental health medication,test to see what medications work for you,USD,12,3,2.64,25.00%,7.92,0,0,0, , 
SS - DNA Testing A,antidepressants,Jan-23,23/01/2023,dna test for antidepressants,dna testing for antidepressant drugs,USD,1,1,1.63,100.00%,1.63,0,0,0, , 
SS - Brand,Trademark,Feb-23,30/01/2023,clarity x dna,clarity x test,USD,2,1,0.11,50.00%,0.11,0,0,0, , 
SS - Competitors,Tempus,Jan-23,2/01/2023,Tempus.com,tempus com,USD,4,1,6.24,25.00%,6.24,0,0,0, , 
SS - DNA Testing B,mental health,Feb-23,13/02/2023,Mental Health dna test,genetic testing for depression medications,USD,4,2,10.38,50.00%,20.76,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Jan-23,23/01/2023,genetic testing for mental health medication,genetic testing medication,USD,6,1,3.54,16.67%,3.54,0,0,0, , 
SS - Genetic Testing TROAS,medication,Jan-23,26/12/2022,genetic medication testing,gene site test,USD,1,1,1.09,100.00%,1.09,0,0,0, , 
SS - Brand,Trademark,Mar-23,13/03/2023,ClarityX,clarityx,USD,85,47,0.75,55.29%,35.07,748.5,2,21.34,17.54,374.25
SS - DNA Testing A,antidepressants,Jan-23,9/01/2023,dna test antidepressants,dna testing for ssris,USD,1,1,7.04,100.00%,7.04,0,0,0, , 
