Campaign,Month,Week,Search keyword,Search term,Currency code,Impr.,Clicks,Cost,Conv. value,Conversions,Conv. value / cost,Cost / conv.,Value / conv.
SS - Brand,Jan-23,30/01/2023,clarityx dna,clarityxdna,USD,6,6,9.68,0,0,0, --, --
SS - Genetic Testing - Sol8,Jan-23,16/01/2023,genetic testing for mental health medication,test to see which antidepressant works best for you,USD,6,1,2.27,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,10/04/2023,genetic test for medication,genetic drug testing,USD,5,1,5.37,0,0,0, --, --
SS - Genetic Testing - Sol8,Jan-23,23/01/2023,genetic testing for mental health medication,gene test for medication,USD,7,1,7.01,0,0,0, --, --
SS - DNA Testing A,Feb-23,13/02/2023,dna testing for psychiatric drugs,gene test for mental health,USD,6,1,10.13,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,17/04/2023,genetic testing for depression meds,test for antidepressants,USD,4,1,2.91,0,0,0, --, --
SS - DNA Testing A,Jan-23,23/01/2023,dna test antidepressants,gene swab test for depression,USD,4,2,6.2,0,0,0, --, --
SS - DNA Testing A,Mar-23,27/03/2023,dna testing for psychiatric drugs,genetic testing psychiatry,USD,1,1,6.71,0,0,0, --, --
SS - Genetic Testing - Sol8,Apr-23,17/04/2023,genetic testing for mental health medication,genome testing for medication,USD,7,2,13.15,0,0,0, --, --
SS - DNA Testing B,Jan-23,23/01/2023,Mental Health dna test,dna mental health testing,USD,2,1,15.4,0,0,0, --, --
SS - DNA Testing B,Apr-23,17/04/2023,Mental Health dna test,antidepressant dna test,USD,1,1,6.72,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,8/05/2023,genetic medication testing,genetic medication testing,USD,34,10,48.94,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,20/02/2023,best pharmacogenetic testing,best pharmacogenetic testing,USD,21,2,2.99,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,16/01/2023,antidepressant genetic test,test to see which antidepressant works best for you,USD,4,1,1.71,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,23/01/2023,pharmacogenomic testing,drug compatibility test,USD,9,4,5.9,0,0,0, --, --
SS - Pharmacogenetic,May-23,22/05/2023,pharmacogenomics testing,blood test for medication compatibility,USD,6,1,4.19,0,0,0, --, --
SS - Genetic Testing - Sol8,Mar-23,6/03/2023,genetic testing for mental health medication,blood test for mental health medication,USD,2,1,5.19,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,15/05/2023,genetic testing for psychiatric medications,genetic testing for psychiatric medications,USD,112,3,14.4,0,0,0, --, --
SS - DNA Testing A,Jan-23,16/01/2023,dna test for medication,dna testing for medication,USD,31,2,11.01,0,0,0, --, --
SS - DNA Testing A,Mar-23,20/03/2023,dna medications,genetic testing for medication side effects,USD,1,1,2.72,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,22/05/2023,genetic testing for antidepressants,genetic testing for antidepressants,USD,174,16,114.07,359.25,1,3.15,114.07,359.25
SS - Genetic Testing TROAS,Mar-23,13/03/2023,genetic testing for antidepressants,antidepressant testing,USD,1,1,4.31,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,13/02/2023,pharmacogenetics test,dna testing for drug compatibility,USD,1,2,7.4,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,13/02/2023,pharmacogenomics testing,drug compatibility test,USD,6,2,22.46,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,2/01/2023,dna pharmacogenetic testing,unitedhealthcare pharmacogenetic testing,USD,1,1,5.62,0,0,0, --, --
SS - Genetic Testing - Sol8,Mar-23,13/03/2023,genetic testing for mental health medication,genetic testing psychiatry,USD,1,2,8.62,0,0,0, --, --
SS - Genetic Testing - Sol8,Feb-23,30/01/2023,genetic testing for mental health medication,genetic testing to determine medication,USD,1,1,4.17,0,0,0, --, --
SS - Genetic Testing - Sol8,Apr-23,17/04/2023,genetic testing for mental health medication,cheek swab for antidepressants,USD,2,1,4.83,0,0,0, --, --
SS - DNA Testing B,Mar-23,6/03/2023,Mental Health dna test,gene testing for mental health,USD,3,1,9.65,0,0,0, --, --
SS - DNA Testing A,Mar-23,27/02/2023,dna test antidepressants,genetic testing for mental health medications,USD,2,1,4.7,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,15/05/2023,genetic testing for depression meds,blood test to determine best antidepressant,USD,2,1,4.07,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,23/01/2023,genetic medication testing,genetic test for depression,USD,1,1,22.16,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,1/05/2023,genetic testing antidepressants,genetic testing antidepressants,USD,15,1,12.49,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,30/01/2023,genetic medication testing,gene sights,USD,1,1,4.05,0,0,0, --, --
SS - DNA Testing A,Jan-23,9/01/2023,dna test for psych meds,genetic psych testing,USD,2,1,1.22,0,0,0, --, --
SS - Brand,Jan-23,2/01/2023,clarity x dna,clarity x dna,USD,7,4,1.85,0,0,0, --, --
SS - DNA Testing B,May-23,8/05/2023,ADHD dna test psychiatry,gene site testing,USD,30,1,1.8,0,0,0, --, --
SS - DNA Testing B,Feb-23,20/02/2023,ADHD dna test psychiatry,adhd dna test,USD,5,2,7.47,0,0,0, --, --
SS - DNA Testing A,Mar-23,27/02/2023,dna test for medication,dna medical testing for medications,USD,4,2,29.36,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,24/04/2023,best genetic testing for psychiatric medications,blood test for psychiatric medications,USD,1,1,5.96,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,26/12/2022,pharmacogenetics testing,genetic testing for antidepressants,USD,3,1,2.22,0,0,0, --, --
SS - Pharmacogenetic,May-23,22/05/2023,pharmacogenomics testing,genetic testing for drug metabolism,USD,5,1,6.48,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,10/04/2023,genetic testing for depression meds,blood test to see what antidepressant will work,USD,2,1,3.52,0,0,0, --, --
SS - DNA Testing B,Apr-23,3/04/2023,dna test for anxiety medication,blood test to determine anxiety medication,USD,3,1,6.03,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,27/02/2023,genetic medication testing,p450 genetic testing,USD,2,1,8.88,0,0,0, --, --
SS - DNA Testing B,Apr-23,3/04/2023,Mental Health dna test,genetic test for anxiety,USD,1,1,3.4,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,6/02/2023,genetic testing for bipolar medication,bipolar disorder genetic testing,USD,3,1,3.55,0,0,0, --, --
SS - DNA Testing B,Apr-23,17/04/2023,ADHD dna test psychiatry,best genetic testing for adhd,USD,1,1,17.14,0,0,0, --, --
SS - DNA Testing A,Jan-23,30/01/2023,dna test for medication,dna testing for medication,USD,12,2,4.95,0,0,0, --, --
SS - Competitors,Mar-23,27/02/2023,genesight testing,gene sight testing,USD,33,5,11.8,0,0,0, --, --
SS - Genetic Testing - Sol8,Jan-23,9/01/2023,genetic testing for mental health medication,gene testing for mental illness,USD,3,1,0.74,0,0,0, --, --
SS - Pharmacogenetic,Mar-23,13/03/2023,pharmacogenetics test,genetic testing for medications,USD,4,1,2.26,0,0,0, --, --
SS - DNA Testing B,Mar-23,27/03/2023,dna swab test for ADHD medication,adhd swab test,USD,2,1,1.45,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,30/01/2023,pharmacogenomic test,pharmacogenomics testing near me,USD,4,1,7.16,0,0,0, --, --
SS - Competitors,Jan-23,23/01/2023,Tempus,tempus pharma,USD,18,1,3.1,0,0,0, --, --
SS - Competitors,Jan-23,2/01/2023,genesight testing,genesite testing,USD,28,1,1.81,0,0,0, --, --
SS - Genetic Testing - Sol8,Apr-23,17/04/2023,genetic testing for mental health medication,genetic testing for medications,USD,5,2,9.8,0,0,0, --, --
SS - Genetic Testing - Sol8,May-23,8/05/2023,genetic testing for mental health medication,mental health genetic testing,USD,7,1,2.89,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,2/01/2023,pgx genetic testing,pgx testing near me,USD,4,1,7.34,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,23/01/2023,genetic testing for mental health meds,genetic testing for anxiety medication,USD,9,1,7.09,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,3/04/2023,genetic medication testing,genetic medication testing,USD,44,8,49.99,0,0,0, --, --
SS - Pharmacogenetic,May-23,8/05/2023,pharmacogenetics test,dna testing for medicine effectiveness,USD,2,2,7.76,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,23/01/2023,best pharmacogenetic testing,pharmacogenetic testing,USD,58,7,33,708.95,2,21.49,16.5,354.48
SS - Pharmacogenetic,Mar-23,6/03/2023,pharmacogenetic testing at home,pharmacogenomics testing at home,USD,11,1,11.55,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,10/04/2023,genetic testing for bipolar medication,genetic testing for bipolar disorder,USD,5,3,8.44,299.25,1,35.46,8.44,299.25
SS - Brand,Feb-23,27/02/2023,clarity x dna,clarity x test,USD,2,2,3.32,0,0,0, --, --
SS - DNA Testing B,Jan-23,23/01/2023,ADHD dna test psychiatry,genetic blood test for adhd,USD,2,2,2.17,0,0,0, --, --
SS - DNA Testing A,Feb-23,30/01/2023,dna test for medication,genetic testing for pain medications,USD,8,1,3.99,0,0,0, --, --
SS - Competitors,Mar-23,27/02/2023,genesight test,genesight psychotropic testing,USD,3,1,6.46,0,0,0, --, --
SS - Pharmacogenetic,Mar-23,20/03/2023,pharmacogenomic testing psychiatry,best genetic testing for psychiatric medications,USD,9,1,3.18,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,27/03/2023,genetic test for medication,genetic test for medication,USD,2,1,8.33,0,0,0, --, --
SS - Genetic Testing - Sol8,Apr-23,3/04/2023,genetic testing for mental health medication,psychogenomic testing,USD,2,1,5.13,0,0,0, --, --
SS - Pharmacogenetic,Apr-23,24/04/2023,pharmacogenetics test,dna test for medication efficacy,USD,4,1,3.87,0,0,0, --, --
SS - Genetic Testing - Sol8,Feb-23,6/02/2023,genetic testing for mental health medication,testing for psychiatric medications,USD,1,1,7.94,0,0,0, --, --
SS - DNA Testing A,Apr-23,17/04/2023,blood test for antidepressant,blood test to determine best antidepressant,USD,3,1,12.31,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,24/04/2023,adhd genetic testing,adhd swab test,USD,2,1,2.49,0,0,0, --, --
SS - DNA Testing A,Apr-23,3/04/2023,dna testing for psychiatric drugs,genetic test for anxiety medication,USD,1,1,15.59,0,0,0, --, --
SS - DNA Testing B,Jan-23,16/01/2023,dna test for anxiety medication,blood test for anxiety medication,USD,2,1,7.67,0,0,0, --, --
SS - DNA Testing A,Feb-23,27/02/2023,dna testing for psychiatric drugs,dna test for mental disorders,USD,3,1,4.36,0,0,0, --, --
SS - DNA Testing A,Apr-23,3/04/2023,dna testing for psychiatric drugs,medication genetic testing,USD,3,2,8.6,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,23/01/2023,pharmacogenomic testing,dna medication test,USD,1,1,3.51,0,0,0, --, --
SS - Pharmacogenetic,Mar-23,6/03/2023,pharmacogenomics testing,genetic testing for medication effectiveness,USD,5,1,3.92,0,0,0, --, --
SS - Pharmacogenetic,Mar-23,27/02/2023,pharmacogenomics testing,medicine genetic testing,USD,4,1,4.52,0,0,0, --, --
SS - DNA Testing A,Jan-23,2/01/2023,dna test for antidepressants,dna mental health testing,USD,2,1,4.62,0,0,0, --, --
SS - DNA Testing B,Apr-23,17/04/2023,dna swab test for ADHD medication,dna test adhd,USD,3,1,17.73,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,30/01/2023,genetic testing for medication,medication genetic testing,USD,8,1,6.69,0,0,0, --, --
SS - Genetic Testing - Sol8,Mar-23,13/03/2023,genetic testing for mental health medication,genetic testing mental health,USD,5,2,6.42,0,0,0, --, --
SS - DNA Testing A,Apr-23,3/04/2023,dna test for antidepressants,genetic testing for ssri,USD,2,2,11.37,0,0,0, --, --
SS - Pharmacogenetic,May-23,15/05/2023,pharmacogenomic test,medicine dna test,USD,6,1,2.45,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,6/02/2023,pharmacogenomic test,pharmacogenomic test,USD,20,1,2.77,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,8/05/2023,antidepressant genetic test,saliva test for antidepressants,USD,3,1,3.72,0,0,0, --, --
SS - Competitors,Jan-23,9/01/2023,genesight psychotropic test,genesight testing for psychiatry,USD,26,2,12.73,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,17/04/2023,genetic testing for medication,genetic testing for medication,USD,254,28,160.46,374.25,1,2.33,160.46,374.25
SS - DNA Testing A,Feb-23,6/02/2023,dna testing for medication efficacy,dna testing for medication efficacy,USD,15,2,10.66,0,0,0, --, --
SS - Brand,Mar-23,27/03/2023,ClarityX,clarity x,USD,2,2,0.43,0,0,0, --, --
SS - Pharmacogenetic,Apr-23,17/04/2023,pharmacogenetic tests,pharmacogenetic tests,USD,11,1,3.96,0,0,0, --, --
SS - DNA Testing A,Jan-23,9/01/2023,dna test for medication,best genetic testing for psychiatric medications,USD,7,2,13.92,0,0,0, --, --
SS - DNA Testing A,Feb-23,30/01/2023,dna test for medication,genetic testing to find out what medications work,USD,2,1,1.26,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,13/02/2023,genetic testing for antidepressants,test for best antidepressant,USD,4,2,4.69,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,17/04/2023,genetic testing depression,depression genetic testing,USD,2,1,3.81,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,6/02/2023,pharmacogenomics testing,dna test for medications,USD,2,1,5.59,0,0,0, --, --
SS - Competitors,Apr-23,27/03/2023,genesight test,genesight,USD,139,3,11.94,748.5,1,62.69,11.94,748.5
SS - DNA Testing B,Mar-23,6/03/2023,dna test for anxiety medication,genesites com,USD,1,1,5.07,0,0,0, --, --
SS - DNA Testing B,Mar-23,13/03/2023,dna test for anxiety medication,best medication for anxiety and depression,USD,2,1,1.7,0,0,0, --, --
SS - Pharmacogenetic,Mar-23,6/03/2023,pharmacogenetic tests,pharmacogenetic pgx testing,USD,1,1,2.1,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,30/01/2023,pharmacogenomic test,pharmacogenomic test,USD,16,1,13.65,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,9/01/2023,pharmacogenomic test,quest pharmacogenomics,USD,1,1,3.05,0,0,0, --, --
SS - DNA Testing A,Jan-23,23/01/2023,dna test for medication,dna swab test for medication,USD,3,1,4.42,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,30/01/2023,pharmacogenomic test,pharmocogenetic testing,USD,2,1,3.19,0,0,0, --, --
SS - Competitors,Jan-23,2/01/2023,genesight testing,genesight testing reviews,USD,14,1,1.36,0,0,0, --, --
SS - DNA Testing B,Jan-23,16/01/2023,Mental Health dna test,genetic test for mental health medications,USD,3,1,3.04,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,27/02/2023,genetic testing for adhd medication,genetic test for adhd,USD,3,1,6.7,0,0,0, --, --
SS - DNA Testing A,Apr-23,10/04/2023,dna medical testing for medications,blood test for medications,USD,1,2,35.02,0,0,0, --, --
SS - Pharmacogenetic,May-23,1/05/2023,pharmacogenetics,pharmacogenetic,USD,19,2,8.5,0,0,0, --, --
SS - Pharmacogenetic,Mar-23,20/03/2023,pgx testing companies,pharmacogenomic companies,USD,1,1,1.36,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,16/01/2023,genetic testing for bipolar medication,genetic test for bipolar,USD,4,1,4.17,0,0,0, --, --
SS - Brand,Apr-23,24/04/2023,clarity x dna,clarity x dna,USD,9,5,9.13,324.35,1,35.53,9.13,324.35
SS - DNA Testing A,Jan-23,30/01/2023,dna test for medication,dna medicine test,USD,2,1,2.19,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,6/03/2023,genetic test for medication,pharmacological genetic testing,USD,5,1,3.85,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,20/03/2023,genetic test for medication,genetic testing for drug response,USD,1,1,3.17,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,13/02/2023,pharmacogenomics testing,dna medicine testing,USD,1,1,3.17,0,0,0, --, --
SS - DNA Testing A,Feb-23,30/01/2023,dna testing for psychiatric drugs,dna test for mental illness,USD,5,2,11.34,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,6/02/2023,genetic medication testing,gene site test,USD,12,1,1.13,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,16/01/2023,gene testing for medication,gene testing for medication,USD,158,8,33.67,334.7,1,9.94,33.67,334.7
SS - Pharmacogenetic,Jan-23,16/01/2023,pharmacogenetic tests,genetic testing medication metabolism,USD,2,1,3.37,0,0,0, --, --
SS - DNA Testing B,Feb-23,27/02/2023,dna test for depression,genetic test depression,USD,1,1,0.66,0,0,0, --, --
SS - DNA Testing A,Jan-23,23/01/2023,dna test for antidepressants,genetic swab for depression,USD,1,1,4.07,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,30/01/2023,best genetic testing for psychiatric medications,best genetic testing for psychiatric medications,USD,6,1,3.53,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,27/03/2023,genetic testing for adhd medication,genetic testing for adhd,USD,5,1,2.09,0,0,0, --, --
SS - DNA Testing B,May-23,15/05/2023,ADHD dna test psychiatry,is there genetic testing for adhd,USD,1,1,1.91,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,20/02/2023,genetic testing depression,genetic testing for depression and anxiety,USD,1,1,7.32,0,0,0, --, --
SS - Genetic Testing - Sol8,Apr-23,17/04/2023,genetic testing for mental health medication,gene testing for medication effectiveness,USD,2,1,5.65,0,0,0, --, --
SS - DNA Testing B,Apr-23,3/04/2023,Mental Health dna test,genetic testing for schizophrenia,USD,10,1,3.7,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,13/02/2023,genetic testing for antidepressant response,genetic testing to see what medications work,USD,1,1,1.49,0,0,0, --, --
SS - Competitors,May-23,8/05/2023,genesight.com,genesight com reviews,USD,2,1,4.29,0,0,0, --, --
SS - Pharmacogenetic,May-23,1/05/2023,pharmacogenetics test,dna testing for medicine effectiveness,USD,4,1,2.27,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,20/02/2023,genetic testing for antidepressants,psych med genetic testing,USD,1,1,4,0,0,0, --, --
SS - Pharmacogenetic,Mar-23,6/03/2023,pharmacogenomics testing,dna test for drug compatibility,USD,3,2,8.4,299.25,1,35.63,8.4,299.25
SS - Genetic Testing TROAS,Jan-23,2/01/2023,genetic testing for adhd medication,genetic adhd testing,USD,1,2,16.9,0,0,0, --, --
SS - Pharmacogenetic,May-23,22/05/2023,pharmacogenomics testing,genetic medication testing,USD,5,1,1.37,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,30/01/2023,genetic testing for adhd medication,genetic test adhd,USD,1,1,0.45,0,0,0, --, --
SS - DNA Testing A,Mar-23,6/03/2023,dna test for medication,dna testing for medications,USD,6,1,4.5,0,0,0, --, --
SS - DNA Testing A,Jan-23,2/01/2023,dna testing for psychiatric drugs,genetic antidepressant testing,USD,2,1,8.28,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,30/01/2023,genetic testing for depression meds,genetic depression test,USD,4,2,8.92,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,13/02/2023,genetic testing for mental health meds,medication swab test,USD,2,1,12.07,0,0,0, --, --
SS - Brand,Apr-23,10/04/2023,clarityx dna reviews,clarity x reviews,USD,10,2,18.22,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,10/04/2023,genetic testing for bipolar medication,genetic testing for bipolar,USD,6,2,1.62,0,0,0, --, --
SS - Pharmacogenetic,Mar-23,20/03/2023,pharmacogenomics testing,dna medical testing for medications,USD,2,1,1.97,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,16/01/2023,genetic testing for adhd medication,genetic testing adhd,USD,16,2,11.67,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,1/05/2023,adhd genetic testing,genetic testing for adhd near me,USD,9,1,3.29,0,0,0, --, --
SS - DNA Testing A,Jan-23,9/01/2023,dna test for medication,genetic testing for medication,USD,50,2,5.36,0,0,0, --, --
SS - DNA Testing A,Jan-23,9/01/2023,dna test for medication,medication genetic testing,USD,13,3,22.42,0,0,0, --, --
SS - Genetic Testing - Sol8,Mar-23,20/03/2023,genetic testing for mental health medication,saliva test for medication,USD,4,1,3.69,0,0,0, --, --
SS - Genetic Testing - Sol8,Jan-23,23/01/2023,genetic testing for mental health medication,genetic testing to see what medications work,USD,5,1,1.67,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,6/02/2023,pharmacogenetic testing near me,pharmacogenetic testing near me,USD,36,1,2.64,0,0,0, --, --
SS - DNA Testing B,Apr-23,17/04/2023,Mental Health dna test,dna psychiatric testing,USD,1,1,14.03,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,30/01/2023,genetic medication testing,gene site testing,USD,29,1,0.97,0,0,0, --, --
SS - DNA Testing A,Feb-23,30/01/2023,dna test for medication,genetic testing for pain management,USD,3,1,1.8,0,0,0, --, --
SS - DNA Testing A,Jan-23,2/01/2023,dna test for medication,genetic testing to find out what medications work,USD,2,1,2.6,0,0,0, --, --
SS - DNA Testing A,Apr-23,3/04/2023,dna test for antidepressants,test for antidepressants,USD,1,2,11.52,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,15/05/2023,genetic testing for antidepressants,gene test for antidepressants,USD,15,1,5.4,0,0,0, --, --
SS - DNA Testing B,Mar-23,6/03/2023,Mental Health dna test,dna test for mental illness,USD,9,2,9.77,0,0,0, --, --
SS - DNA Testing B,Apr-23,3/04/2023,Mental Health dna test,dna test for bipolar,USD,2,1,10.59,0,0,0, --, --
SS - Genetic Testing - Sol8,Feb-23,6/02/2023,genetic testing for mental health medication,genetic testing for depression medicine,USD,5,2,19.81,0,0,0, --, --
SS - Pharmacogenetic,May-23,1/05/2023,pharmacogenetics test,test to see what medication works for you,USD,2,1,7.21,0,0,0, --, --
SS - DNA Testing A,Feb-23,27/02/2023,dna testing for psychiatric drugs,dna testing psychiatry,USD,2,1,10.5,0,0,0, --, --
SS - DNA Testing A,Feb-23,20/02/2023,dna testing for psychiatric drugs,mental health genetic testing,USD,2,1,6.06,0,0,0, --, --
SS - Pharmacogenetic,Mar-23,20/03/2023,pharmacogenomics testing,genetic testing for medication metabolism,USD,2,1,2.36,0,0,0, --, --
SS - DNA Testing A,Feb-23,6/02/2023,dna test antidepressants,dna test to find best antidepressant,USD,3,1,15.97,299.25,1,18.74,15.97,299.25
SS - DNA Testing A,Jan-23,23/01/2023,dna test for medication,dna test for medications,USD,5,1,7.3,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,16/01/2023,genetic testing for bipolar medication,blood test for bipolar medication,USD,1,1,3.37,0,0,0, --, --
SS - DNA Testing A,Mar-23,27/03/2023,dna medical testing for medications,dna medical testing for medications,USD,3,1,7.1,0,0,0, --, --
SS - Pharmacogenetic,May-23,22/05/2023,pharmacogenomics testing,pharmacode genetic testing,USD,4,1,3.74,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,30/01/2023,adhd genetic testing,adhd genetic testing,USD,11,1,3.11,0,0,0, --, --
SS - Pharmacogenetic,May-23,8/05/2023,pharmacogenetics testing,pharmacogenetic testing,USD,170,11,45.59,0,0,0, --, --
SS - Genetic Testing - Sol8,May-23,1/05/2023,genetic testing for mental health medication,schizophrenia genetic test,USD,2,1,1.09,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,27/03/2023,genetic test for medication,genetic testing medications,USD,4,1,3.92,0,0,0, --, --
SS - Competitors,Feb-23,13/02/2023,genesight testing,genesight testing at home,USD,11,2,9.17,0,0,0, --, --
SS - DNA Testing B,Feb-23,13/02/2023,Mental Health dna test,dna test for anxiety,USD,1,2,10.06,0,0,0, --, --
SS - DNA Testing A,Feb-23,30/01/2023,dna test antidepressants,dna testing for antidepressant,USD,1,1,3.72,0,0,0, --, --
SS - Competitors,Jan-23,23/01/2023,genesight test,genesight testing for antidepressants,USD,4,1,13.71,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,23/01/2023,genetic testing for mental health meds,genetic testing for mental health,USD,22,1,29.86,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,13/02/2023,genetic test for antidepressants,swab test for antidepressants,USD,1,1,2.87,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,27/03/2023,genetic testing for medication,genetic testing for medication,USD,177,19,103.27,0,0,0, --, --
SS - Genetic Testing - Sol8,Feb-23,30/01/2023,genetic testing for mental health medication,genetic test for anxiety medication,USD,2,1,8.69,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,27/03/2023,genetic testing for depression meds,genetic testing ssri,USD,2,1,5.87,0,0,0, --, --
SS - DNA Testing A,Mar-23,13/03/2023,dna test antidepressants,dna testing for ssris,USD,1,1,11.21,0,0,0, --, --
SS - DNA Testing B,Apr-23,3/04/2023,Mental Health dna test,schizophrenia dna test,USD,3,1,1.65,0,0,0, --, --
SS - DNA Testing A,Mar-23,6/03/2023,dna test for medication,genetic testing for pain medications,USD,4,1,8.76,0,0,0, --, --
SS - Brand,Jan-23,23/01/2023,clarityx dna reviews,clarity x dna test reviews,USD,2,1,3.4,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,22/05/2023,genetic test for medication,medication sensitivity testing,USD,1,1,2.46,0,0,0, --, --
SS - DNA Testing B,Mar-23,6/03/2023,Mental Health dna test,antidepressant genetic testing,USD,1,1,13.68,0,0,0, --, --
SS - Genetic Testing - Sol8,Apr-23,17/04/2023,genetic testing for mental health medication,mental health genetic testing,USD,10,3,13.01,0,0,0, --, --
SS - DNA Testing A,Apr-23,10/04/2023,dna test antidepressants,genetic testing for antidepressant,USD,2,2,20.68,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,10/04/2023,genetic testing for psychotropic medications,genetic testing for psychotropic medications,USD,11,1,6.38,0,0,0, --, --
SS - DNA Testing A,Jan-23,9/01/2023,dna test for medication,genetic test for medication,USD,27,3,24.4,299.25,1,12.26,24.4,299.25
SS - Genetic Testing - Sol8,Apr-23,24/04/2023,genetic testing for anxiety meds,genetic anxiety test,USD,6,1,2.46,0,0,0, --, --
SS - Competitors,May-23,1/05/2023,genesight testing,gene sight,USD,22,2,2.34,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,22/05/2023,genetic test for medication,test for medication sensitivity,USD,1,1,3.94,0,0,0, --, --
SS - Genetic Testing - Sol8,Feb-23,30/01/2023,genetic testing for mental health medication,genetic testing for medication,USD,5,1,7.13,0,0,0, --, --
SS - DNA Testing A,Jan-23,2/01/2023,dna test for psych meds,dna test for mental health,USD,3,1,8.22,0,0,0, --, --
SS - Genetic Testing - Sol8,Mar-23,13/03/2023,genetic testing for mental health medication,gene testing for mental health,USD,5,1,4.78,0,0,0, --, --
SS - Genetic Testing - Sol8,Jan-23,23/01/2023,genetic testing for mental health medication,psych med genetic testing,USD,1,1,6.47,0,0,0, --, --
SS - DNA Testing B,Mar-23,20/03/2023,dna test for depression medication,genetic testing for ssri response,USD,6,1,4.44,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,15/05/2023,antidepressant genetic test,test to see which antidepressant works best for you,USD,2,1,4.83,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,2/01/2023,pgx genetic testing,pgx testing,USD,90,6,12.11,0,0,0, --, --
SS - DNA Testing B,May-23,8/05/2023,Mental Health dna test,is there a genetic test for schizophrenia,USD,1,1,1.04,0,0,0, --, --
SS - DNA Testing A,Mar-23,27/03/2023,dna test antidepressants,dna test antidepressants,USD,1,1,10.82,0,0,0, --, --
